<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.07.12	114.79	115.33	113.83	113.83	55345	6296862	1
2023.07.13	114.50	116.02	114.34	115.58	63419	8770063	1
2023.07.14	115.26	115.62	113.84	113.96	86253	14824165	1
2023.07.17	113.39	114.71	112.94	114.71	50056	5230074	1
2023.07.18	114.34	115.03	113.55	113.95	94544	5750909	1
2023.07.19	113.46	114.33	112.93	113.75	39540	5636677	1
2023.07.20	114.35	114.58	113.67	114.34	70735	7919291	1
2023.07.21	114.45	116.65	114.40	116.40	51886	8651985	1
2023.07.24	116.47	117.96	116.27	117.57	51433	6794197	1
2023.07.25	118.97	119.17	117.98	117.98	49034	5681391	1
2023.07.26	117.85	118.89	117.55	118.74	50520	7270167	1
2023.07.27	118.66	118.80	116.00	116.04	62237	6485811	1
2023.07.28	116.51	116.93	115.95	116.52	70006	2943366	1
2023.07.31	117.23	118.34	117.15	117.95	53591	3889613	1
2023.08.01	117.20	117.79	116.35	117.52	47570	3444566	1
2023.08.02	116.92	117.47	115.97	117.01	46379	6537586	1
2023.08.03	117.83	118.80	116.55	116.71	73922	7527835	1
2023.08.04	115.79	117.65	115.46	115.66	79218	6040417	1
2023.08.07	115.84	116.35	115.14	115.61	67747	6527803	1
2023.08.08	114.10	115.85	113.95	115.27	71694	4884622	1
2023.08.09	115.03	115.08	114.19	114.70	50876	5981544	1
2023.08.10	115.27	115.70	114.37	114.51	52734	5275962	1
2023.08.11	114.73	115.36	113.75	114.25	53862	8695793	1
2023.08.14	113.98	114.12	112.94	113.31	89428	4728049	1
2023.08.15	113.84	114.05	112.37	112.37	53126	5730482	1
2023.08.16	112.93	113.73	111.87	111.87	68382	8028362	1
2023.08.17	112.91	113.04	111.34	111.36	61091	9331433	1
2023.08.18	111.12	112.17	110.99	111.70	56871	8944196	1
2023.08.21	111.74	111.90	110.58	110.79	78256	5997777	1
2023.08.22	111.74	112.71	111.59	112.41	53809	9533506	1
2023.08.23	112.70	114.36	112.70	114.30	49044	4366464	1
2023.08.24	114.14	114.49	113.18	113.30	33586	5454803	1
2023.08.25	113.24	116.10	111.83	112.15	54502	5959426	1
2023.08.28	112.53	113.66	112.21	113.50	56001	4394771	1
2023.08.29	114.22	114.85	113.75	114.62	67933	5273711	1
2023.08.30	114.83	115.13	113.81	113.90	35958	5580688	1
2023.08.31	113.68	113.68	112.28	112.31	69579	4068964	1
2023.09.01	112.82	114.30	112.81	114.05	58508	5494823	1
2023.09.04	114.07	114.85	113.82	114.14	28532	3126341	1
2023.09.05	113.49	114.30	112.97	113.62	63519	3801923	1
